eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons
0.5454,0.8081,0.947,-0.7321,-0.0035,0.0544
0.7304,0.7612,0.8062,-0.3038,0.1001,0.0608
0.5877,0.4736,0.7475,-1.1164,0.9784,-0.0259
0.8154,0.3229,0.0235,-0.1569,0.9908,-0.2804
0.8485,0.1785,0.8229,-9.0,-4.0,-1.0
0.8588,0.5427,0.6875,-0.15,0.7781,0.0918
0.8183,0.1735,0.417,-0.175,-4.0,-1.0
0.9202,0.647,0.4415,-0.1295,0.436,0.0791
0.5961,0.1079,0.8846,-9.0,-4.0,-1.0
0.6846,0.9092,0.1857,-0.3921,-0.0518,0.0468
0.6258,0.0485,0.1371,-0.4079,-4.0,-1.0
0.9437,0.384,0.5613,-0.1892,-0.0262,4.2295
0.7502,0.3802,0.358,-0.2738,0.8547,-0.3145
0.9071,0.1819,0.4301,-0.1185,-4.0,-1.0
0.9165,0.2238,0.0398,-0.1296,-4.0,-1.0
0.531,0.6612,0.7575,-0.9332,0.3908,0.0776
0.9985,0.2889,0.394,-0.1102,-4.0,-1.0
0.8512,0.051,0.2489,-0.1262,-4.0,-1.0
0.6324,0.4666,0.3609,-0.5976,0.2094,14.7103
0.7689,0.7319,0.7712,-0.2411,0.1796,0.0655
1.0,1.0,0.0,-9.0,-4.0,-1.0
1.0,1.0,1.0,-9.0,-4.0,-1.0
0.5,1.0,0.5492,-9.0,-4.0,-1.0
0.5,1.0,0.0,-0.997,0.6625,0.0708
1.0,1.0,0.4798,-9.0,-4.0,-1.0
1.0,0.5204,1.0,-9.0,0.8579,0.1079
1.0,0.0,1.0,-9.0,-4.0,-1.0
0.5,0.6053,0.0,-0.997,0.6625,0.0708
1.0,0.6327,0.0,-9.0,-4.0,-1.0
0.5,0.0,0.55,-9.0,-4.0,-1.0
0.5,0.4165,1.0,-9.0,-4.0,-1.0
0.5,0.2656,0.0,-0.997,0.6625,0.0708
1.0,0.0,0.6806,-9.0,-4.0,-1.0
0.5,1.0,0.8724,-9.0,-4.0,-1.0
1.0,0.0,0.0,-9.0,-4.0,-1.0
0.5,0.7877,0.308,-1.0261,0.0653,0.0582
0.5,0.0,1.0,-9.0,-4.0,-1.0
0.5,0.2228,0.3273,-9.0,-4.0,-1.0
0.8106,1.0,0.6978,-9.0,-4.0,-1.0
0.7203,1.0,1.0,-9.0,-4.0,-1.0
0.7536,0.7771,0.0,-0.2266,0.0945,0.0329
0.5,0.0,0.0,-0.997,0.6625,0.0708
1.0,0.787,0.7775,-9.0,0.0358,0.0569
0.7532,0.0,1.0,-9.0,-4.0,-1.0
0.7645,0.351,1.0,-9.0,-4.0,-1.0
1.0,0.8337,0.2094,-9.0,-4.0,-1.0
1.0,0.2536,1.0,-9.0,-4.0,-1.0
0.5,0.2633,0.6099,-9.0,-4.0,-1.0
0.5,1.0,0.2592,-9.0,-4.0,-1.0
0.7651,0.0,0.0,-0.2228,0.0671,0.0302
0.7336,0.0,0.676,-9.0,-4.0,-1.0
