eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,f_obj_CV,is_min_f_obj_CV
0.9989,0.6255,0.5207,0.1043,0.4454,0.0095,0.6781443293644253,False
0.9777,0.2839,0.2235,0.1031,4.0,1.0,10.65072789002415,False
0.8739,0.8094,0.0,0.1674,1.955,-0.049,2.4510359820190812,False
0.8268,0.485,0.0,0.1814,1.7649,-0.0459,2.2100565542548885,False
0.831,0.685,0.4375,0.1829,1.0229,-0.003,1.4181001352239986,False
0.8292,0.428,0.5646,0.209,-0.5945,-0.0667,-1.1157188577860808,False
0.7644,0.4856,0.167,0.2004,-0.8488,-0.0151,-1.1983555189919508,False
0.8555,0.7209,0.6655,0.1786,1.2619,-0.008,1.7179873661802019,False
0.8253,0.4837,0.0,0.1916,1.7726,-0.046,2.2220661017705643,False
0.8305,0.1851,0.0,0.1842,1.8044,-0.046,2.264061336698549,False
0.8587,0.6234,0.5288,0.1672,0.4341,0.0109,0.6823007534981982,False
0.7656,0.4853,0.1721,0.1927,-0.8475,-0.0229,-1.2383804025786913,True
0.8739,0.6559,0.1266,0.1459,0.6855,-0.0005,0.9627324467649951,False
