eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.0,1.0,0.2974,9,4,1,2024-01-25 00:57:44
0.7021,0.7508,1.0,0.4159,1.4755,-0.0106,2024-01-25 01:12:09
0.3074,1.0,0.7494,9,4,1,2024-01-25 01:13:59
0.324,1.0,0.0,5.2109,-0.9434,-0.1937,2024-01-25 01:28:28
0.6561,0.3114,0.3338,0.5139,4,1,2024-01-25 01:31:46
0.0,0.4439,0.2706,9,4,1,2024-01-25 01:33:30
1.0,0.7273,0.0,9,4,1,2024-01-25 01:35:15
0.5476,0.4847,0.7562,1.4857,-0.8775,-0.0293,2024-01-25 01:49:47
0.6382,0.6455,0.0435,0.4396,0.6135,0.0061,2024-01-25 02:04:20
1.0,0.0,0.7242,9,4,1,2024-01-25 02:06:06
0.2662,0.8365,1.0,0.3187,1.9079,-0.022,2024-01-25 02:20:37
0.7112,0.0,0.0,0.303,1.4853,-0.0344,2024-01-25 02:35:14
0.5607,0.6069,0.8719,0.9478,0.2481,0.0146,2024-01-25 02:49:47
0.6308,1.0,0.2731,9,4,1,2024-01-25 02:51:33
0.0,0.2773,0.0,9,4,1,2024-01-25 02:53:18
0.5427,0.266,1.0,9,4,1,2024-01-25 02:55:20
0.1268,0.2544,0.6894,9,4,1,2024-01-25 02:57:22
0.705,1.0,0.8177,9,4,1,2024-01-25 02:59:08
0.1434,0.7648,0.1895,9,0.916,-0.0375,2024-01-25 03:12:50
0.1714,0.0,0.2052,9,4,1,2024-01-25 03:14:37
1.0,0.2687,1.0,9,4,1,2024-01-25 03:16:40
0.7373,0.0,0.6123,9,4,1,2024-01-25 03:18:27
