eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.7791,0.1579,0.1261,0.1938,4,1,2024-02-02 20:30:48
0.6891,0.8333,1.0,0.3144,0.0299,-0.0506,2024-02-02 20:45:24
0.6361,0.1337,0.3033,0.2912,4,1,2024-02-02 20:48:18
0.6124,1.0,0.1044,9,4,1,2024-02-02 20:50:11
0.5,0.7533,0.5016,1.0843,-0.1494,-0.0646,2024-02-02 21:04:49
0.8397,0.3572,0.747,0.3103,4,1,2024-02-02 21:08:09
1.0,1.0,0.6255,9,4,1,2024-02-02 21:10:01
0.8316,0.1413,0.628,9,4,1,2024-02-02 21:12:12
0.5,0.8953,0.1362,1.022,-0.0031,-0.0535,2024-02-02 21:26:49
0.5,0.375,0.4502,1.602,-0.2461,-0.8778,2024-02-02 21:36:48
0.864,0.5944,0.2868,0.1461,-0.6055,-0.092,2024-02-02 21:51:37
0.6218,0.7401,0.0816,0.4911,-0.1786,-0.0657,2024-02-02 22:06:30
0.6861,0.0,0.8473,9,4,1,2024-02-02 22:08:29
1.0,0.8633,0.3774,9,4,1,2024-02-02 22:10:32
0.6716,0.5969,0.8284,0.4832,-0.596,-0.0944,2024-02-02 22:25:17
0.5,0.1174,0.4493,9,4,1,2024-02-02 22:27:27
0.6307,0.9047,0.0,0.495,-0.325,-0.0507,2024-02-02 22:42:19
0.8702,0.0,0.0969,9,4,1,2024-02-02 22:44:32
1.0,0.0915,0.5305,9,4,1,2024-02-02 22:46:49
0.6663,0.1648,0.7359,9,4,1,2024-02-02 22:52:23
0.9124,0.3581,0.9318,0.4071,4,1,2024-02-02 23:29:31
0.8287,0.464,0.141,0.1484,-0.4799,-0.8556,2024-02-03 00:16:18
