eta_eno,eta_v,ducros_cutoff,fdisper,ftke,fcons,time
0.8585,0.7218,0.3537,0.1684,-0.2079,-0.0657,2024-02-06 13:42:46
0.5569,0.3671,0.82,1.515,4,1,2024-02-06 13:45:39
0.5006,0.5842,0.8103,1.6662,-0.6574,-0.096,2024-02-06 15:29:48
0.7461,0.1429,0.4461,0.2349,4,1,2024-02-06 16:06:24
0.9584,0.0387,0.9807,9,4,1,2024-02-06 16:08:32
0.6087,0.3964,0.5173,0.818,-0.367,-9.2876,2024-02-06 17:20:39
0.8723,0.0744,0.1328,0.1299,4,1,2024-02-06 17:37:00
0.7972,0.3503,0.8233,0.5049,4,1,2024-02-06 17:39:55
0.8827,0.792,0.3091,0.1629,-0.0385,-0.0566,2024-02-06 17:54:20
0.8696,0.5116,0.6519,0.1825,-0.8814,-0.1161,2024-02-06 18:09:05
0.7932,0.611,0.7593,0.1816,-0.5458,-0.0885,2024-02-06 18:23:51
0.8026,0.6871,0.5817,0.1995,-0.29,-0.0718,2024-02-06 18:38:39
0.7192,0.6493,0.7719,0.3279,-0.4211,-0.0812,2024-02-06 18:53:23
0.9993,0.797,0.6435,0.1221,-0.0273,-0.056,2024-02-06 19:08:08
0.516,0.9215,0.6834,0.8648,0.0825,-0.0457,2024-02-06 19:22:52
0.6481,0.8049,0.8529,0.4839,-0.0014,-0.0552,2024-02-06 20:07:50
0.7595,0.271,0.845,9,4,1,2024-02-06 20:18:59
0.91,0.9629,0.2204,0.1568,0.1125,-0.0422,2024-02-06 21:40:43
0.6516,0.6562,0.9383,0.55,-0.3981,-0.0797,2024-02-06 22:48:39
0.8476,0.2854,0.1321,0.1384,4,1,2024-02-06 23:25:40
0.7373,0.6397,0.9891,0.48,-0.4564,-0.0823,2024-02-07 00:37:41
0.5516,0.4961,0.4745,1.1547,-0.279,-0.6953,2024-02-07 03:43:01
0.6659,0.4491,0.5098,0.5114,-0.4633,-1.5991,2024-02-07 03:58:03
0.5,0.8156,0.0,0.997,-0.6625,-0.0708,2024-02-07 04:12:53
0.5,0.0,0.0,0.997,-0.6625,-0.0708,2024-02-07 04:27:40
1.0,1.0,1.0,0.1854,4,1,2024-02-07 04:30:16
0.5,0.0,1.0,9,4,1,2024-02-07 04:31:52
0.5,0.4175,0.0,0.997,-0.6625,-0.0708,2024-02-07 04:46:34
1.0,0.6382,0.0,0.1271,4,1,2024-02-07 04:49:10
0.5,1.0,0.3092,0.9687,4,1,2024-02-07 04:51:44
1.0,0.0,0.6093,9,4,1,2024-02-07 04:53:24
0.5,0.0,0.6158,9,4,1,2024-02-07 04:55:03
0.5,0.0,0.299,9,4,1,2024-02-07 04:56:43
0.5,1.0,1.0,0.188,4,1,2024-02-07 04:59:18
1.0,0.3098,0.3874,0.099,4,1,2024-02-07 05:02:17
0.8028,1.0,0.5544,0.2368,4,1,2024-02-07 05:04:52
1.0,0.4032,1.0,9,4,1,2024-02-07 05:07:10
0.7265,1.0,0.0,0.2577,-0.0998,-0.0358,2024-02-07 05:21:39
0.7123,0.6205,0.0736,0.2636,-0.5068,-0.0872,2024-02-07 05:36:22
1.0,1.0,0.0,0.1271,4,1,2024-02-07 05:38:57
0.5,0.2875,0.2445,0.9874,4,1,2024-02-07 05:41:49
0.5,0.7144,0.2722,1.0859,-0.2379,-0.0688,2024-02-07 05:56:25
1.0,0.0,0.3354,9,4,1,2024-02-07 05:58:13
1.0,0.2318,0.0,0.1271,4,1,2024-02-07 06:00:48
1.0,0.7233,1.0,0.469,-0.2056,-0.0662,2024-02-07 06:15:24
0.7453,0.0,0.7594,9,4,1,2024-02-07 06:17:03
1.0,0.2395,0.7234,9,4,1,2024-02-07 06:19:24
0.5,0.2907,1.0,9,4,1,2024-02-07 06:21:20
1.0,1.0,0.45,0.1551,4,1,2024-02-07 06:23:52
1.0,0.5285,0.232,0.0853,4,1,2024-02-07 06:26:31
0.6715,0.1923,0.0,0.3338,-0.2181,-0.0426,2024-02-07 06:40:59
1.0,1.0,0.7537,0.1463,4,1,2024-02-07 06:43:34
0.7558,1.0,1.0,0.181,4,1,2024-02-07 06:46:10
1.0,0.0,0.0,0.1271,4,1,2024-02-07 06:48:42
0.5,0.7718,0.509,1.0364,-0.0893,-0.061,2024-02-07 07:03:17
0.7325,0.0,1.0,9,4,1,2024-02-07 07:04:56
0.5,0.1425,0.7879,9,4,1,2024-02-07 07:06:47
0.5,1.0,0.0,0.997,-0.6625,-0.0708,2024-02-07 07:21:26
0.6764,0.8779,0.2344,0.3817,0.0231,-0.0497,2024-02-07 07:36:09
0.8429,0.8058,0.0,0.1772,0.0073,-0.0244,2024-02-07 07:50:57
0.7397,0.0,0.0,0.2466,-0.0868,-0.0331,2024-02-07 08:05:40
0.6812,0.4483,0.2582,0.4177,-0.8026,0.1044,2024-02-07 08:20:31
0.8298,0.4442,0.0,0.1954,-0.0159,-0.0249,2024-02-07 08:35:12
0.7205,0.0,0.2833,9,4,1,2024-02-07 08:36:58
0.7171,0.3926,1.0,9,4,1,2024-02-07 08:39:20
0.7275,1.0,0.775,0.2884,4,1,2024-02-07 08:41:55
1.0,0.5946,0.4677,0.1205,-0.6077,-0.0915,2024-02-07 08:56:35
1.0,0.5373,0.8084,0.0866,-0.7892,-0.0933,2024-02-07 09:11:24
0.5,0.1719,0.476,9,4,1,2024-02-07 09:13:27
0.5826,1.0,0.4983,0.644,4,1,2024-02-07 09:16:04
0.7608,0.0,0.5341,9,4,1,2024-02-07 09:17:44
1.0,0.0,0.8097,9,4,1,2024-02-07 09:19:27
0.5,0.5181,1.0,3.869,-0.8676,-0.1106,2024-02-07 09:34:09
0.8888,0.84,0.8569,0.1999,0.0351,-0.0498,2024-02-07 09:48:55
0.5,0.5302,0.1685,1.1949,-0.8245,-0.1,2024-02-07 10:03:48
0.5,0.7794,1.0,0.3666,-0.0662,-0.0593,2024-02-07 10:18:34
0.7993,0.2237,0.629,0.1891,4,1,2024-02-07 10:21:21
1.0,0.7955,0.1417,0.126,4,1,2024-02-07 10:24:04
1.0,0.2136,1.0,9,4,1,2024-02-07 10:25:57
0.8272,0.5396,0.3651,0.155,-0.7924,-0.0942,2024-02-07 10:40:38
0.7107,0.8298,0.6232,0.3233,0.0216,-0.0509,2024-02-07 10:55:22
0.8598,0.6309,0.1562,0.1534,-0.4808,-0.0834,2024-02-07 11:10:11
0.5189,0.2028,0.0645,0.9197,4,1,2024-02-07 11:13:06
0.6509,0.7127,0.4699,0.4718,-0.2337,-0.0689,2024-02-07 11:27:51
0.8896,0.8354,0.4922,0.1772,0.0146,-0.0509,2024-02-07 11:42:38
0.6333,0.6108,0.2841,0.5039,-0.5461,-0.0891,2024-02-07 11:57:31
0.858,0.2253,0.2913,0.1491,4,1,2024-02-07 12:00:27
0.8468,0.8928,0.6989,0.2133,0.0615,-0.0457,2024-02-07 12:41:39
0.5707,0.1674,0.6309,9,4,1,2024-02-07 12:44:38
0.7432,1.0,0.3424,0.2855,4,1,2024-02-07 13:20:27
1.0,0.1995,0.2,0.0973,4,1,2024-02-07 13:55:27
0.5,0.6166,0.0,0.997,-0.6625,-0.0708,2024-02-07 15:16:45
1.0,0.4299,0.0,0.1271,4,1,2024-02-07 15:52:28
1.0,0.152,0.4905,0.0778,4,1,2024-02-07 16:27:44
0.5,0.4722,0.6469,2.0399,-0.9792,0.0345,2024-02-07 17:49:49
0.6475,0.1575,0.2099,0.4102,4,1,2024-02-07 18:25:41
0.6416,0.1581,1.0,9,4,1,2024-02-09 03:00:04
1.0,0.3789,0.58,0.0998,4,1,2024-02-09 03:11:42
0.666,0.4188,0.0604,0.3096,-0.9527,0.1919,2024-02-09 03:26:31
0.8073,0.1536,0.9932,9,4,1,2024-02-09 03:28:26
0.5,1.0,0.8336,0.8205,4,1,2024-02-09 03:31:06
0.5893,0.4231,0.5287,1.0089,-0.6188,-0.6351,2024-02-09 03:46:17
0.5619,0.0,0.8246,9,4,1,2024-02-09 03:48:06
0.7804,0.8254,1.0,0.335,0.0179,-0.0517,2024-02-09 04:02:49
0.6032,1.0,0.1467,0.5737,4,1,2024-02-09 04:05:34
0.5,0.7162,0.6858,1.156,-0.2298,-0.0694,2024-02-09 04:20:20
0.5927,0.0,0.4512,9,4,1,2024-02-09 04:22:09
0.6026,0.0,0.1256,0.7757,4,1,2024-02-09 04:24:52
0.5,0.8775,0.1569,1.034,-0.0243,-0.0546,2024-02-09 04:39:37
1.0,0.7832,0.3738,0.1349,4,1,2024-02-09 04:42:34
0.6567,0.8225,0.0,0.4391,-0.2487,-0.0462,2024-02-09 04:57:19
0.8933,0.1184,0.8187,9,4,1,2024-02-09 04:59:22
1.0,1.0,0.2645,0.1455,4,1,2024-02-09 05:02:07
1.0,0.0,0.1612,0.9235,4,1,2024-02-09 05:04:53
1.0,0.3426,0.857,0.2132,4,1,2024-02-09 05:08:02
0.91,0.5501,1.0,2.0048,-0.7537,-0.0909,2024-02-09 05:22:38
0.8784,1.0,0.8815,0.1873,4,1,2024-02-09 05:25:26
0.5,0.2909,0.6563,9,4,1,2024-02-09 05:28:20
1.0,0.7159,0.809,0.0977,-0.2277,-0.0675,2024-02-09 05:43:07
0.8472,0.3431,0.4691,0.1996,4,1,2024-02-09 05:46:41
0.8526,0.1607,0.0,0.1742,0.0125,-0.0232,2024-02-09 06:01:30
0.6167,0.8988,1.0,0.2456,0.0725,-0.0452,2024-02-09 06:16:21
1.0,0.6096,0.6455,0.1118,-0.5521,-0.0863,2024-02-09 06:31:14
1.0,0.838,0.0,0.1271,4,1,2024-02-09 06:34:07
0.6855,0.3993,0.6941,0.8644,-0.0757,-0.9686,2024-02-09 06:41:52
1.0,0.3732,0.172,0.1221,4,1,2024-02-09 06:44:43
0.8735,0.0,0.4153,9,4,1,2024-02-09 06:46:39
0.8704,0.3344,1.0,9,4,1,2024-02-09 06:49:02
0.5894,0.8711,0.3896,0.615,0.0312,-0.0492,2024-02-09 07:03:47
0.5,0.8374,0.8513,0.869,0.0286,-0.0517,2024-02-09 07:18:42
0.5,0.1159,0.2094,0.7897,4,1,2024-02-09 07:21:40
0.5743,0.7178,0.1273,0.6303,-0.2463,-0.0693,2024-02-09 07:36:34
0.5,0.3765,0.3875,1.2189,-0.65,0.1937,2024-02-09 07:51:45
0.6793,0.3413,0.206,0.3808,4,1,2024-02-09 07:54:58
